30	1	1	1	
70	2	2	1	
40	3	3	1	
35	4	4	2	
22	5	5	2	
34	6	6	2	
30	7	7	3	
34	8	8	3	
43	9	9	3	
35	1	1	4	
73	2	2	4	
35	3	3	4	
38	4	4	5	
22	5	5	5	
38	6	6	5	
30	7	7	6	
32	8	8	6	
32	9	9	6	
35	1	1	7	
48	2	2	7	
35	3	3	7	
73	4	4	8	
59	5	5	8	
55	6	6	8	
45	7	7	9	
63	8	8	9	
40	9	9	9	
40	1	1	10	
78	2	2	10	
45	3	3	10	
44	5	5	11	
43	6	6	11	
84	7	7	11	
49	4	4	12	
56	8	8	12	
35	9	9	12	
30	1	1	13	
46	2	2	13	
35	3	3	13	
48	4	4	14	
62	5	5	14	
50	6	6	14	
37	7	7	15	
36	8	8	15	
35	9	9	15	
35	1	1	16	
73	2	2	16	
40	3	3	16	
47	4	4	17	
48	5	5	17	
36	6	6	17	
72	7	7	18	
47	8	8	18	
35	9	9	18	
30	1	1	19	
26	2	2	19	
30	3	3	19	
36	4	4	20	
25	5	5	20	
35	6	6	20	
42	7	7	21	
68	8	8	21	
35	9	9	21	
35	1	1	22	
42	2	2	22	
50	3	3	22	
45	4	4	23	
45	5	5	23	
52	6	6	23	
73	7	7	24	
58	8	8	24	
72	9	9	24	
25	1	1	25	
38	2	2	25	
35	3	3	25	
32	4	4	26	
26	5	5	26	
39	6	6	26	
74	7	7	27	
72	8	8	27	
45	9	9	27	
40	1	1	28	
47	2	2	28	
36	3	3	28	
30	4	4	29	
20	5	5	29	
39	6	6	29	
38	7	7	30	
38	8	8	30	
31	9	9	30	
35	1	1	31	
34	2	2	31	
45	3	3	31	
47	4	4	32	
28	5	5	32	
38	6	6	32	
42	7	7	33	
61	8	8	33	
40	9	9	33	
80	1	1	34	
45	2	2	34	
48	3	3	34	
30	5	5	35	
52	6	6	35	
41	7	7	35	
70	4	4	36	
45	8	8	36	
40	9	9	36	
70	1	1	37	
52	2	2	37	
50	3	3	37	
48	4	4	38	
28	5	5	38	
53	6	6	38	
35	8	8	39	
32	9	9	39	
30	1	1	39	
36	7	7	40	
42	2	2	40	
40	3	3	40	
35	4	4	41	
20	5	5	41	
39	6	6	41	
37	7	7	42	
59	8	8	42	
55	9	9	42	
40	1	1	43	
33	2	2	43	
50	3	3	43	
85	4	4	44	
30	5	5	44	
51	6	6	44	
38	7	7	45	
39	8	8	45	
45	9	9	45	
60	1	1	46	
38	2	2	46	
40	3	3	46	
42	4	4	47	
40	5	5	47	
60	6	6	47	
81	7	7	48	
81	8	8	48	
35	9	9	48	
35	1	1	49	
34	2	2	49	
78	3	3	49	
80	4	4	50	
46	5	5	50	
40	7	7	50	
55	8	8	51	
80	9	9	51	
70	1	1	51	
32	2	2	52	
35	3	3	52	
35	4	4	52	
20	6	6	53	
20	5	5	53	
21	7	7	53	
29	6	6	54	
31	8	8	54	
35	9	9	54	
35	1	1	55	
35	2	2	55	
45	3	3	55	
30	4	4	56	
21	5	5	56	
35	6	6	56	
37	7	7	57	
58	8	8	57	
35	9	9	57	
50	1	1	58	
36	2	2	58	
45	3	3	58	
46	4	4	59	
30	5	5	59	
55	6	6	59	
38	7	7	60	
38	8	8	60	
40	9	9	60	
35	1	1	61	
55	2	2	61	
40	3	3	61	
30	5	5	62	
56	6	6	62	
38	7	7	62	
81	4	4	63	
