作品编号,专家1,专家1评分,专家2,专家2评分,专家3,专家3评分
187,A7,60,A18,60,A19,38
188,A10,70,A11,65,A12,86
189,A1,55,A3,65,A17,73
190,A6,50,A14,52,A15,60
191,A7,63,A18,50,A19,62
192,A11,70,A12,72,A1,65
193,A3,60,A17,82,A6,82
194,A14,82,A15,76,A7,75
195,A18,68,A19,42,A11,65
196,A12,71,A1,65,A3,60
197,A17,79,A6,55,A14,70
198,A15,83,A7,70,A18,75
199,A19,60,A11,60,A12,80
200,A1,80,A3,80,A17,87
201,A6,80,A14,74,A15,71
202,A7,65,A18,79,A19,65
203,A11,55,A12,88,A1,55
204,A3,50,A17,70,A6,58
205,A14,70,A15,80,A7,70
206,A18,65,A19,50,A11,65
207,A12,55,A1,55,A3,55
208,A10,80,A17,78,A6,60
209,A10,78,A14,76,A15,93
210,A10,73,A7,60,A18,68
211,A10,75,A19,52,A11,75
212,A10,74,A12,67,A1,55
213,A10,78,A3,60,A17,79
214,A6,50,A14,50,A15,36
215,A7,60,A18,55,A19,29
216,A10,76,A11,55,A12,76
217,A1,70,A3,65,A17,83
218,A6,50,A14,65,A15,64
219,A7,70,A18,50,A19,45
220,A10,83,A11,70,A12,84
221,A1,60,A3,50,A17,62
222,A6,60,A14,61,A15,70
223,A7,65,A18,45,A19,43
224,A10,76,A11,60,A12,74
225,A1,65,A3,60,A17,76
226,A6,45,A14,65,A15,61
227,A7,60,A18,65,A19,36
228,A10,72,A11,60,A12,64
229,A1,60,A3,45,A17,66
230,A6,55,A14,50,A15,46
231,A7,70,A18,55,A19,37
232,A10,73,A11,55,A12,73
233,A1,60,A3,65,A17,68
234,A6,40,A14,58,A15,58
235,A7,60,A18,50,A19,49
236,A10,84,A11,55,A12,85
237,A1,80,A3,75,A17,79
238,A6,50,A14,50,A15,53
239,A7,64,A18,65,A19,47
240,A10,60,A11,40,A12,62
241,A1,60,A3,55,A17,60
242,A6,45,A14,45,A15,56
243,A7,62,A18,65,A19,47
244,A10,64,A11,50,A12,67
245,A1,70,A3,50,A17,72
246,A6,45,A14,50,A15,45
247,A7,64,A18,45,A19,24
248,A10,68,A11,45,A12,73
249,A1,65,A3,50,A17,66
250,A6,40,A14,50,A15,55
251,A7,61,A18,45,A19,43
252,A10,72,A11,50,A12,69
253,A1,55,A3,40,A17,67
254,A6,40,A14,50,A15,53
255,A7,60,A18,40,A19,40
256,A10,65,A11,60,A12,78
257,A1,40,A3,45,A17,55
258,A6,40,A14,50,A15,40
259,A7,62,A18,40,A19,26
260,A10,70,A11,60,A1,55
261,A3,65,A17,63,A6,40
262,A14,60,A15,47,A7,61
263,A18,60,A19,49,A10,62
264,A11,60,A1,60,A3,65
265,A17,76,A6,55,A14,78
266,A12,64,A15,48,A7,65
267,A12,55,A18,60,A19,46
268,A10,68,A11,50,A12,61
269,A1,40,A3,35,A17,55
270,A6,30,A14,50,A15,37
271,A7,60,A18,30,A19,37
272,A10,66,A11,50,A12,63
273,A1,65,A3,60,A17,70
274,A6,30,A14,50,A15,43
275,A7,70,A18,65,A19,66
276,A10,70,A11,65,A12,82
